dt,AverageTemperature,AverageTemperatureUncertainty,Country
1796-01-01,17.044,2.044,India
1796-02-01,19.193,1.359,India
1796-03-01,22.319,2.125,India
1796-04-01,27.233,1.51,India
1796-05-01,30.035,1.338,India
1796-06-01,29.261,2.953,India
1796-07-01,26.8,2.19,India
1796-08-01,26.558,2.866,India
1796-09-01,25.958,3.275,India
1796-10-01,24.031,1.352,India
1796-11-01,20.186,2.787,India
1796-12-01,15.485,3.734,India
1797-01-01,,,India
1797-02-01,,,India
1797-03-01,22.879,1.73,India
1797-04-01,26.502,2.614,India
1797-05-01,29.364,2.11,India
1797-06-01,29.88,1.936,India
1797-07-01,26.891,2.181,India
1797-08-01,26.716,2.072,India
1797-09-01,26.072,2.842,India
1797-10-01,23.67,1.945,India
1797-11-01,19.323,1.578,India
1797-12-01,17.102,2.448,India
1798-01-01,17.226,1.759,India
1798-02-01,19.525,1.675,India
1798-03-01,24.328,1.494,India
1798-04-01,,,India
1798-05-01,,,India
1798-06-01,29.369,1.93,India
1798-07-01,27.968,2.165,India
1798-08-01,27.009,3.968,India
1798-09-01,25.973,2.499,India
1798-10-01,23.898,2.061,India
1798-11-01,20.709,2.29,India
1798-12-01,16.728,1.864,India
1799-01-01,16.648,1.911,India
1799-02-01,17.976,2.203,India
1799-03-01,23.08,2.245,India
1799-04-01,27.996,2.938,India
1799-05-01,30.217,1.382,India
1799-06-01,29.86,2.316,India
1799-07-01,27.178,1.89,India
1799-08-01,26.674,1.217,India
1799-09-01,26.105,2.258,India
1799-10-01,24.597,1.747,India
1799-11-01,20.158,1.49,India
1799-12-01,16.904,1.4,India
1800-01-01,17.081,1.654,India
1800-02-01,19.78,3.301,India
1800-03-01,22.938,2.662,India
1800-04-01,28.458,1.502,India
1800-05-01,29.372,1.322,India
1800-06-01,29.261,1.317,India
1800-07-01,26.494,1.71,India
1800-08-01,26.069,2.065,India
1800-09-01,24.999,2.037,India
1800-10-01,24.318,2.107,India
1800-11-01,20.625,2.349,India
1800-12-01,17.548,1.508,India
1801-01-01,17.433,1.443,India
1801-02-01,18.868,1.143,India
1801-03-01,25.084,1.661,India
1801-04-01,,,India
1801-05-01,,,India
1801-06-01,28.652,1.765,India
1801-07-01,27.272,2.513,India
1801-08-01,26.075,1.727,India
1801-09-01,25.598,1.339,India
1801-10-01,24.001,1.444,India
1801-11-01,20.492,1.417,India
1801-12-01,18.276,3.032,India
1802-01-01,17.904,1.791,India
1802-02-01,19.734,1.528,India
1802-03-01,24.829,1.746,India
1802-04-01,27.816,1.788,India
1802-05-01,29.209,1.828,India
1802-06-01,30.397,1.5,India
1802-07-01,27.826,1.517,India
1802-08-01,26.581,1.435,India
1802-09-01,26.699,1.764,India
1802-10-01,24.564,2.885,India
1802-11-01,20.258,1.664,India
1802-12-01,16.795,1.692,India
1803-01-01,15.603,1.764,India
1803-02-01,18.271,2.605,India
1803-03-01,23.323,1.891,India
1803-04-01,28.265,1.49,India
1803-05-01,30.257,1.55,India
1803-06-01,29.643,1.28,India
1803-07-01,27.876,1.357,India
1803-08-01,27.79,1.718,India
1803-09-01,26.732,1.584,India
1803-10-01,24.319,2.32,India
1803-11-01,20.749,1.978,India
1803-12-01,16.921,2.338,India
1804-01-01,17.443,3.427,India
1804-02-01,19.11,1.675,India
1804-03-01,23.215,3.059,India
1804-04-01,29.131,1.522,India
1804-05-01,30.692,1.631,India
1804-06-01,29.952,1.333,India
1804-07-01,28.694,2.112,India
1804-08-01,26.788,1.61,India
1804-09-01,26.513,2.946,India
1804-10-01,24.164,1.665,India
1804-11-01,21.624,3.057,India
1804-12-01,16.583,3.206,India
1805-01-01,17.173,1.473,India
1805-02-01,19.036,2.067,India
1805-03-01,23.942,1.208,India
1805-04-01,27.034,1.792,India
1805-05-01,30.077,1.203,India
1805-06-01,29.959,2.191,India
1805-07-01,27.069,1.561,India
1805-08-01,27.213,1.155,India
1805-09-01,25.936,1.955,India
1805-10-01,22.831,1.885,India
1805-11-01,19.951,2.549,India
1805-12-01,18.085,1.227,India
1806-01-01,17.092,1.634,India
1806-02-01,19.019,2.233,India
1806-03-01,23.013,1.658,India
1806-04-01,27.359,2.577,India
1806-05-01,29.971,1.668,India
1806-06-01,28.054,1.609,India
1806-07-01,26.995,1.428,India
1806-08-01,26.888,1.634,India
1806-09-01,26.855,1.874,India
1806-10-01,23.754,1.25,India
1806-11-01,20.452,1.633,India
1806-12-01,17.662,1.89,India
1807-01-01,15.975,2.125,India
1807-02-01,18.799,2.83,India
1807-03-01,,,India
1807-04-01,,,India
1807-05-01,27.873,1.598,India
1807-06-01,29.541,1.336,India
1807-07-01,27.631,1.999,India
1807-08-01,26.447,1.805,India
1807-09-01,26.465,1.514,India
1807-10-01,23.586,1.163,India
1807-11-01,20.375,1.97,India
1807-12-01,18.304,1.492,India
1808-01-01,,,India
1808-02-01,,,India
1808-03-01,,,India
1808-04-01,,,India
1808-05-01,,,India
1808-06-01,,,India
1808-07-01,,,India
1808-08-01,,,India
1808-09-01,,,India
1808-10-01,,,India
1808-11-01,,,India
1808-12-01,,,India
1809-01-01,,,India
1809-02-01,,,India
1809-03-01,,,India
1809-04-01,,,India
1809-05-01,,,India
1809-06-01,,,India
1809-07-01,,,India
1809-08-01,,,India
1809-09-01,,,India
1809-10-01,,,India
1809-11-01,,,India
1809-12-01,,,India
1810-01-01,,,India
1810-02-01,,,India
1810-03-01,,,India
1810-04-01,,,India
1810-05-01,,,India
1810-06-01,,,India
1810-07-01,,,India
1810-08-01,,,India
1810-09-01,,,India
1810-10-01,,,India
1810-11-01,,,India
1810-12-01,,,India
1811-01-01,,,India
1811-02-01,,,India
1811-03-01,,,India
1811-04-01,,,India
1811-05-01,,,India
1811-06-01,,,India
1811-07-01,,,India
1811-08-01,,,India
1811-09-01,,,India
1811-10-01,,,India
1811-11-01,,,India
1811-12-01,,,India
1812-01-01,,,India
1812-02-01,,,India
1812-03-01,,,India
1812-04-01,,,India
1812-05-01,,,India
1812-06-01,,,India
1812-07-01,,,India
1812-08-01,,,India
1812-09-01,,,India
1812-10-01,,,India
1812-11-01,,,India
1812-12-01,,,India
1813-01-01,14.479,2.782,India
1813-02-01,18.549,1.304,India
1813-03-01,21.409,5.277,India
1813-04-01,27.898,1.256,India
1813-05-01,30.54,4.591,India
1813-06-01,28.332,2.197,India
1813-07-01,26.881,1.656,India
1813-08-01,25.304,1.193,India
1813-09-01,25.773,1.683,India
1813-10-01,23.198,1.232,India
1813-11-01,21.076,1.365,India
1813-12-01,15.816,1.602,India
1814-01-01,15.45,2.818,India
1814-02-01,18.596,1.16,India
1814-03-01,22.213,1.736,India
1814-04-01,26.526,1.315,India
1814-05-01,,,India
1814-06-01,28.93,1.638,India
1814-07-01,25.53,2.672,India
1814-08-01,25.325,1.478,India
1814-09-01,24.583,1.304,India
1814-10-01,22.5,3.1,India
1814-11-01,21.007,4.345,India
1814-12-01,18.571,4.781,India
1815-01-01,15.915,2.2,India
1815-02-01,19.157,4.467,India
1815-03-01,22.208,2.973,India
1815-04-01,27.332,2.754,India
1815-05-01,29.24,3.093,India
1815-06-01,26.523,1.578,India
1815-07-01,26.316,2.536,India
1815-08-01,25.577,1.608,India
1815-09-01,25.154,1.309,India
1815-10-01,22.034,2.609,India
1815-11-01,18.865,1.966,India
1815-12-01,15.372,1.904,India
1816-01-01,16.376,4.049,India
1816-02-01,16.251,1.912,India
1816-03-01,22.414,1.484,India
1816-04-01,26.301,3.495,India
1816-05-01,29.514,2.011,India
1816-06-01,28.163,2.218,India
1816-07-01,25.06,1.475,India
1816-08-01,24.848,1.015,India
1816-09-01,23.977,0.993,India
1816-10-01,21.404,5.186,India
1816-11-01,18.967,6.089,India
1816-12-01,15.813,1.524,India
1817-01-01,15.916,4.174,India
1817-02-01,18.828,2.39,India
1817-03-01,22.551,1.555,India
1817-04-01,27.052,1.745,India
